,id,position,name,age_years,gender,country,sector,corp.,worth_busd,image
1247,5084,1248,Harald Link,63,Male,None,Diversified ,Diversified,2.0,https://specials-images.forbesimg.com/imageserve/57434b7d4bbe6f636185778a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=110&cropY2=854
1248,1816,1249,Liu Ming Hui,55,Male,China,Energy ,Natural Gas Distribution,2.0,https://specials-images.forbesimg.com/imageserve/5a7cda0fa7ea431690130b75/416x416.jpg?background=000000&cropX1=1126&cropX2=3692&cropY1=63&cropY2=2627
1249,1380,1250,Jeffrey Lurie,66,Male,United States,Sports ,Philadelphia Eagles,2.0,https://specials-images.forbesimg.com/imageserve/5a8dfde131358e4955ae0037/416x416.jpg?background=000000&cropX1=665&cropX2=2589&cropY1=84&cropY2=2007
1250,3227,1251,Ma Xingtian,48,Male,China,Healthcare ,Pharmaceuticals,2.0,https://specials-images.forbesimg.com/imageserve/53248972c5824d9bcf7c7db5aecfbf2d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747
1251,3814,1252,Sarah Macmillan,64,Female,United States,Food And Beverage ,Cargill,2.0,https://specials-images.forbesimg.com/imageserve/53248972c5824d9bcf7c7db5aecfbf2d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=3&cropY2=747
1252,5985,1253,Howard Marks,72,Male,None,Finance And Investments ,Private Equity,2.0,https://specials-images.forbesimg.com/imageserve/59de733931358e542c039e6f/416x416.jpg?background=000000&cropX1=817&cropX2=2143&cropY1=263&cropY2=1588
1253,7470,1254,Miao Shouliang,63,Male,None,Real Estate ,Real Estate,2.0,https://specials-images.forbesimg.com/imageserve/589d2e55a7ea431f32192a5e/416x416.jpg?background=000000&cropX1=29&cropX2=723&cropY1=103&cropY2=798
1254,3124,1255,Lachhman Das Mittal,87,Male,None,Automotive ,Tractors,2.0,https://specials-images.forbesimg.com/imageserve/59cc1536a7ea434a34f46d14/416x416.jpg?background=000000&cropX1=15&cropX2=2304&cropY1=5&cropY2=2296
1255,8482,1256,Mario Moretti Polegato,65,Male,None,Fashion & Retail ,Shoes,2.0,https://specials-images.forbesimg.com/imageserve/5a7f982131358e4955ad1e63/416x416.jpg?background=000000&cropX1=12&cropX2=2905&cropY1=0&cropY2=2895
1256,1552,1257,Vadim Moshkovich,51,Male,None,Food And Beverage ,"Agriculture, Land",2.0,https://specials-images.forbesimg.com/imageserve/5a80c31da7ea431690133cac/416x416.jpg?background=000000&cropX1=668&cropX2=2596&cropY1=7&cropY2=1935
1257,8202,1258,Mofatraj Munot,73,Male,None,Real Estate ,Real Estate,2.0,https:http://specials-images.forbesimg.com/imageserve/7c6c5d8021800a5b72c6170da704db3c/416x416.jpg?background=000000&cropX1=56&cropX2=567&cropY1=31&cropY2=542
1258,2204,1259,Jonathan Nelson,62,Male,United States,Finance And Investments ,Private Equity,2.0,https://specials-images.forbesimg.com/imageserve/57e196d24bbe6f6781c5301d/416x416.jpg?background=000000&cropX1=21&cropX2=667&cropY1=250&cropY2=896
1259,5176,1260,Florentino Perez,71,None,None,Construction & Engineering ,Construction,2.0,https://specials-images.forbesimg.com/imageserve/5a810d9b4bbe6f2652f544ac/416x416.jpg?background=000000&cropX1=60&cropX2=2760&cropY1=282&cropY2=2984
1260,1741,1261,Chuchat & Daonapa Petaumpai,65,none,Thailand,Finance And Investments ,Motorcycle Loans,2.0,https://specials-images.forbesimg.com/imageserve/592d7a004bbe6f1b730adefd/416x416.jpg?background=000000&cropX1=64&cropX2=354&cropY1=50&cropY2=340
1261,8029,1262,Peter Peterson,92,Male,None,Finance And Investments ,Investments,2.0,https://specials-images.forbesimg.com/imageserve/301309845d8d9ff310b38d473fd6da2b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=92&cropY2=836
1262,3842,1263,Arvind Poddar,60,Male,None,Automotive ,Tires,2.0,https://specials-images.forbesimg.com/imageserve/59cc1d9b31358e542c02fcb0/416x416.jpg?background=000000&cropX1=43&cropX2=2087&cropY1=141&cropY2=2185
1263,1047,1264,Murdaya Poo,77,Male,None,Diversified ,Diversified,2.0,https://specials-images.forbesimg.com/imageserve/58adc4234bbe6f0e55874af8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=68&cropY2=812
1264,1073,1265,Ren Zhengfei,74,Male,None,Telecom ,Telecom Equipment,2.0,https:http://specials-images.forbesimg.com/imageserve/56c6960fe4b062f6b59a146c/416x416.jpg?background=000000&cropX1=279&cropX2=635&cropY1=314&cropY2=670
1265,3041,1266,Antony Ressler,56,Male,None,Finance And Investments ,Finance,2.0,https://specials-images.forbesimg.com/imageserve/5a8ed46831358e4955ae0767/416x416.jpg?background=000000&cropX1=1020&cropX2=1941&cropY1=240&cropY2=1161
